tol%,d%,buy_rsi,trim_rsi,ab200,deep_OS,stop_dd,W1-BEAR,W2-EARLYBULL,W3-MIDCHOP,W4-LATEBULL,W5-FULL,geo_4w,worst_4w,any_liq,max_dd_any%,stops_total
1.0,33,55,50,0.95,0.8,0.2,0.9680533235069092,1.3709356161795714,0.9930792486146508,1.0417222741454553,1.5131273840428312,1.0824629718676275,0.9680533235069092,False,10.831483290373889,1
1.0,33,55,50,0.95,0.8,0.25,0.9542753239250447,1.3709356161795714,0.9930792486146508,1.0417222741454553,1.5131273840428312,1.0785906535220002,0.9542753239250447,False,10.831483290373889,1
1.0,33,55,50,0.95,0.8,0.3,0.9492389335563183,1.3709356161795714,0.9930792486146508,1.0417222741454553,1.5131273840428312,1.0771647055369962,0.9492389335563183,False,10.831483290373889,1
1.0,33,55,50,1.0,0.7,0.2,1.0,1.2943837499675686,1.0,1.0417222741454553,1.3729811626186965,1.077590491557666,1.0,False,8.036415141205755,0
1.0,33,55,50,1.0,0.7,0.25,1.0,1.2943837499675686,1.0,1.0417222741454553,1.3729811626186965,1.077590491557666,1.0,False,8.036415141205755,0
1.0,33,55,50,1.0,0.7,0.3,1.0,1.2943837499675686,1.0,1.0417222741454553,1.3729811626186965,1.077590491557666,1.0,False,8.036415141205755,0
1.0,33,55,50,1.0,0.8,0.2,1.0,1.2943837499675686,1.0,1.0417222741454553,1.3729811626186965,1.077590491557666,1.0,False,8.036415141205755,0
1.0,33,55,50,1.0,0.8,0.25,1.0,1.2943837499675686,1.0,1.0417222741454553,1.3729811626186965,1.077590491557666,1.0,False,8.036415141205755,0
1.0,33,55,50,1.0,0.8,0.3,1.0,1.2943837499675686,1.0,1.0417222741454553,1.3729811626186965,1.077590491557666,1.0,False,8.036415141205755,0
1.0,33,100,0,0.95,0.7,0.2,0.9374233497529569,1.2950070022324152,0.9930792486146508,1.0430418131771308,1.4268439157672195,1.0589449346866822,0.9374233497529569,False,9.87909946614871,1
1.0,33,100,0,0.95,0.7,0.25,0.9114037879605245,1.2950070022324152,0.9930792486146508,1.0430418131771308,1.4268439157672195,1.0515190447715488,0.9114037879605245,False,12.380537413953373,1
1.0,33,100,0,0.95,0.7,0.3,0.9018926343542797,1.2950070022324152,0.9930792486146508,1.0430418131771308,1.4268439157672195,1.0487649039210833,0.9018926343542797,False,13.294909483239303,1
1.0,33,100,0,0.95,0.8,0.2,0.9374233497529569,1.2950070022324152,0.9930792486146508,1.0430418131771308,1.4268439157672195,1.0589449346866822,0.9374233497529569,False,9.87909946614871,1
